year,United States,India,China,Indonesia,Brazil
1955.0,171685336.0,409880595.0,612241554.0,77273425.0,62533919.0
1960.0,186720571.0,450547679.0,660408056.0,87751068.0,72179226.0
1965.0,199733676.0,499123324.0,724218968.0,100267062.0,83373530.0
1970.0,209513341.0,555189792.0,827601394.0,114793178.0,95113265.0
1975.0,219081251.0,623102897.0,926240885.0,130680727.0,107216205.0
1980.0,229476354.0,698952844.0,1000089235.0,147447836.0,120694009.0
1985.0,240499825.0,784360008.0,1075589361.0,164982451.0,135274080.0
1990.0,252120309.0,873277798.0,1176883674.0,181413402.0,149003223.0
1995.0,265163745.0,963922588.0,1240920535.0,196934260.0,162019896.0
2000.0,281710909.0,1056575549.0,1290550765.0,211513823.0,174790340.0
2005.0,294993511.0,1147609927.0,1330776380.0,226289470.0,186127103.0
2010.0,309011475.0,1234281170.0,1368810615.0,241834215.0,195713635.0
2015.0,320878310.0,1310152403.0,1406847870.0,258383256.0,204471769.0
2016.0,323015995.0,1324517249.0,1414049351.0,261556381.0,206163053.0
2017.0,325084756.0,1338676785.0,1421021791.0,264650963.0,207833823.0
2018.0,327096265.0,1352642280.0,1427647786.0,267670543.0,209469323.0
2019.0,329064917.0,1366417754.0,1433783686.0,270625568.0,211049527.0
2020.0,331002651.0,1380004385.0,1439323776.0,273523615.0,212559417.0
